ticker,cik,company_name,source,collected_at
AAPL,0000320193,Apple Inc.,sec_edgar,2026-08-07 09:03:36.857479+00:00
AMD,0000002488,ADVANCED MICRO DEVICES INC,sec_edgar,2026-08-07 09:03:36.862410+00:00
AMZN,0001018724,AMAZON COM INC,sec_edgar,2026-08-07 09:03:36.857482+00:00
GOOGL,0001652044,Alphabet Inc.,sec_edgar,2026-08-07 09:03:36.857480+00:00
INTC,0000050863,INTEL CORP,sec_edgar,2026-08-07 09:03:36.857488+00:00
META,0001326801,"Meta Platforms, Inc.",sec_edgar,2026-08-07 09:03:36.857483+00:00
MSFT,0000789019,MICROSOFT CORP,sec_edgar,2026-08-07 09:03:36.857481+00:00
NVDA,0001045810,NVIDIA CORP,sec_edgar,2026-08-07 09:03:36.857475+00:00
ORCL,0001341439,ORACLE CORP,sec_edgar,2026-08-07 09:03:36.857500+00:00
TSLA,0001318605,"Tesla, Inc.",sec_edgar,2026-08-07 09:03:36.857484+00:00
