ticker,cik,entity_name,accession_number,filing_date,report_date,form_type,primary_document,source,collected_at,form_family,is_amendment,reporting_lag_days,next_trading_session,days_to_session
AAPL,0000320193,Apple Inc.,0000320193-94-000002,1994-01-26,1993-12-31,10-Q,,sec_edgar,2026-08-07 09:03:42.525434+00:00,10-Q,False,26,1994-01-26,0
AAPL,0000320193,Apple Inc.,0000320193-94-000013,1994-08-12,1994-07-01,10-Q,,sec_edgar,2026-08-07 09:03:42.525434+00:00,10-Q,False,42,1994-08-12,0
AAPL,0000320193,Apple Inc.,0000320193-94-000016,1994-12-13,1994-09-30,10-K,,sec_edgar,2026-08-07 09:03:42.525434+00:00,10-K,False,74,1994-12-13,0
AAPL,0000320193,Apple Inc.,0000320193-95-000003,1995-02-09,1994-12-30,10-Q,,sec_edgar,2026-08-07 09:03:42.525434+00:00,10-Q,False,41,1995-02-09,0
AAPL,0000320193,Apple Inc.,0000320193-95-000008,1995-05-15,1995-03-31,10-Q,,sec_edgar,2026-08-07 09:03:42.525434+00:00,10-Q,False,45,1995-05-15,0
AAPL,0000320193,Apple Inc.,0000320193-95-000011,1995-08-11,1995-06-30,10-Q,,sec_edgar,2026-08-07 09:03:42.525434+00:00,10-Q,False,42,1995-08-11,0
AAPL,0000320193,Apple Inc.,0000320193-95-000016,1995-12-19,1995-09-29,10-K,,sec_edgar,2026-08-07 09:03:42.525434+00:00,10-K,False,81,1995-12-19,0
AAPL,0000320193,Apple Inc.,0000320193-96-000002,1996-02-12,1995-12-29,10-Q,,sec_edgar,2026-08-07 09:03:42.525434+00:00,10-Q,False,45,1996-02-12,0
AAPL,0000320193,Apple Inc.,0000320193-96-000006,1996-04-12,1996-04-10,8-K,,sec_edgar,2026-08-07 09:03:42.525434+00:00,8-K,False,2,1996-04-12,0
AAPL,0000320193,Apple Inc.,0000320193-96-000011,1996-05-13,1996-03-29,10-Q,,sec_edgar,2026-08-07 09:03:42.525434+00:00,10-Q,False,45,1996-05-13,0
AAPL,0000320193,Apple Inc.,0000320193-96-000014,1996-06-17,1996-06-14,8-K,,sec_edgar,2026-08-07 09:03:42.525434+00:00,8-K,False,3,1996-06-17,0
AAPL,0000320193,Apple Inc.,0000320193-96-000018,1996-08-12,1996-06-28,10-Q,,sec_edgar,2026-08-07 09:03:42.525434+00:00,10-Q,False,45,1996-08-12,0
