ticker,cik,accession_number,filing_date,report_date,form_type,source,collected_at
AAPL,320193,0000320193-94-000002,1994-01-26,1993-12-31,10-Q,sec_edgar,2026-08-06 23:15:34.711786+00:00
AAPL,320193,0000320193-94-000013,1994-08-12,1994-07-01,10-Q,sec_edgar,2026-08-06 23:15:34.711786+00:00
AAPL,320193,0000320193-94-000016,1994-12-13,1994-09-30,10-K,sec_edgar,2026-08-06 23:15:34.711786+00:00
AAPL,320193,0000320193-95-000003,1995-02-09,1994-12-30,10-Q,sec_edgar,2026-08-06 23:15:34.711786+00:00
AAPL,320193,0000320193-95-000008,1995-05-15,1995-03-31,10-Q,sec_edgar,2026-08-06 23:15:34.711786+00:00
AAPL,320193,0000320193-95-000011,1995-08-11,1995-06-30,10-Q,sec_edgar,2026-08-06 23:15:34.711786+00:00
AAPL,320193,0000320193-95-000016,1995-12-19,1995-09-29,10-K,sec_edgar,2026-08-06 23:15:34.711786+00:00
AAPL,320193,0000320193-96-000002,1996-02-12,1995-12-29,10-Q,sec_edgar,2026-08-06 23:15:34.711786+00:00
AAPL,320193,0000320193-96-000006,1996-04-12,1996-04-10,8-K,sec_edgar,2026-08-06 23:15:34.711786+00:00
AAPL,320193,0000320193-96-000011,1996-05-13,1996-03-29,10-Q,sec_edgar,2026-08-06 23:15:34.711786+00:00
AAPL,320193,0000320193-96-000014,1996-06-17,1996-06-14,8-K,sec_edgar,2026-08-06 23:15:34.711786+00:00
AAPL,320193,0000320193-96-000018,1996-08-12,1996-06-28,10-Q,sec_edgar,2026-08-06 23:15:34.711786+00:00
AAPL,320193,0000912057-96-023874,1996-10-28,1996-10-28,8-K,sec_edgar,2026-08-06 23:15:34.711786+00:00
AAPL,320193,0000320193-96-000021,1996-12-13,1996-12-04,8-K,sec_edgar,2026-08-06 23:15:34.711786+00:00
AAPL,320193,0000320193-96-000023,1996-12-19,1996-09-27,10-K,sec_edgar,2026-08-06 23:15:34.711786+00:00
AAPL,320193,0000320193-96-000027,1996-12-24,1996-12-24,8-K,sec_edgar,2026-08-06 23:15:34.711786+00:00
AAPL,320193,0000320193-97-000002,1997-02-10,1996-12-27,10-Q,sec_edgar,2026-08-06 23:15:34.711786+00:00
AAPL,320193,0000320193-97-000007,1997-04-10,1997-04-10,8-K,sec_edgar,2026-08-06 23:15:34.711786+00:00
AAPL,320193,0000320193-97-000009,1997-04-25,1997-04-25,8-K,sec_edgar,2026-08-06 23:15:34.711786+00:00
AAPL,320193,0000320193-97-000011,1997-05-12,1997-03-28,10-Q,sec_edgar,2026-08-06 23:15:34.711786+00:00
AAPL,320193,0000320193-97-000012,1997-07-28,1997-07-28,8-K,sec_edgar,2026-08-06 23:15:34.711786+00:00
AAPL,320193,0000320193-97-000014,1997-08-11,1997-06-27,10-Q,sec_edgar,2026-08-06 23:15:34.711786+00:00
AAPL,320193,0000320193-97-000016,1997-09-05,1997-09-02,8-K,sec_edgar,2026-08-06 23:15:34.711786+00:00
AAPL,320193,0000320193-97-000019,1997-09-25,1997-09-24,8-K,sec_edgar,2026-08-06 23:15:34.711786+00:00
AAPL,320193,0000320193-97-000018,1997-09-25,1997-09-24,8-K,sec_edgar,2026-08-06 23:15:34.711786+00:00
AAPL,320193,0001047469-97-006960,1997-12-05,1997-09-26,10-K,sec_edgar,2026-08-06 23:15:34.711786+00:00
AAPL,320193,0000320193-98-000001,1998-01-08,1998-01-08,8-K,sec_edgar,2026-08-06 23:15:34.711786+00:00
AAPL,320193,0000320193-98-000003,1998-02-09,1997-12-26,10-Q,sec_edgar,2026-08-06 23:15:34.711786+00:00
AAPL,320193,0000320193-98-000006,1998-05-11,1998-03-27,10-Q,sec_edgar,2026-08-06 23:15:34.711786+00:00
AAPL,320193,0000320193-98-000008,1998-08-10,1998-06-26,10-Q,sec_edgar,2026-08-06 23:15:34.711786+00:00
AAPL,320193,0000320193-98-000010,1998-12-23,1998-12-23,8-K,sec_edgar,2026-08-06 23:15:34.711786+00:00
AAPL,320193,0000320193-99-000002,1999-02-08,1998-12-26,10-Q,sec_edgar,2026-08-06 23:15:34.711786+00:00
AAPL,320193,0000320193-99-000004,1999-05-11,1999-03-27,10-Q,sec_edgar,2026-08-06 23:15:34.711786+00:00
AAPL,320193,0000320193-99-000007,1999-07-16,1999-07-16,8-K,sec_edgar,2026-08-06 23:15:34.711786+00:00
AAPL,320193,0000320193-99-000009,1999-08-06,1999-06-26,10-Q,sec_edgar,2026-08-06 23:15:34.711786+00:00
AAPL,320193,0000320193-99-000010,1999-09-07,1999-09-03,8-K,sec_edgar,2026-08-06 23:15:34.711786+00:00
AAPL,320193,0000912057-99-010244,1999-12-22,1999-09-25,10-K,sec_edgar,2026-08-06 23:15:34.711786+00:00
AAPL,320193,0000912057-00-002128,2000-01-24,2000-01-19,8-K,sec_edgar,2026-08-06 23:15:34.711786+00:00
AAPL,320193,0000912057-00-003201,2000-02-01,2000-01-01,10-Q,sec_edgar,2026-08-06 23:15:34.711786+00:00
AAPL,320193,0000912057-00-023442,2000-05-11,2000-04-01,10-Q,sec_edgar,2026-08-06 23:15:34.711786+00:00
AAPL,320193,0000912057-00-033901,2000-07-31,2000-07-01,10-Q,sec_edgar,2026-08-06 23:15:34.711786+00:00
AAPL,320193,0000912057-00-053623,2000-12-14,2000-09-30,10-K,sec_edgar,2026-08-06 23:15:34.711786+00:00
AAPL,320193,0000912057-01-004642,2001-02-12,2000-12-30,10-Q,sec_edgar,2026-08-06 23:15:34.711786+00:00
AAPL,320193,0000912057-01-515409,2001-05-14,2001-03-31,10-Q,sec_edgar,2026-08-06 23:15:34.711786+00:00
AAPL,320193,0000912057-01-528148,2001-08-13,2001-06-30,10-Q,sec_edgar,2026-08-06 23:15:34.711786+00:00
AAPL,320193,0000912057-02-004945,2002-02-11,2001-12-29,10-Q,sec_edgar,2026-08-06 23:15:34.711786+00:00
AAPL,320193,0000912057-02-020280,2002-05-14,2002-03-30,10-Q,sec_edgar,2026-08-06 23:15:34.711786+00:00
AAPL,320193,0000912057-02-029692,2002-08-05,2002-08-01,8-K,sec_edgar,2026-08-06 23:15:34.711786+00:00
AAPL,320193,0000912057-02-030796,2002-08-09,2002-06-29,10-Q,sec_edgar,2026-08-06 23:15:34.711786+00:00
AAPL,320193,0000912057-02-031595,2002-08-13,2002-08-08,8-K,sec_edgar,2026-08-06 23:15:34.711786+00:00
AAPL,320193,0001047469-02-007674,2002-12-19,2002-09-28,10-K,sec_edgar,2026-08-06 23:15:34.711786+00:00
AAPL,320193,0001047469-03-004566,2003-02-10,2002-12-28,10-Q,sec_edgar,2026-08-06 23:15:34.711786+00:00
AAPL,320193,0001104659-03-004649,2003-03-21,2003-03-19,8-K,sec_edgar,2026-08-06 23:15:34.711786+00:00
AAPL,320193,0001047469-03-013617,2003-04-16,2003-04-16,8-K,sec_edgar,2026-08-06 23:15:34.711786+00:00
AAPL,320193,0001104659-03-009489,2003-05-13,2003-03-29,10-Q,sec_edgar,2026-08-06 23:15:34.711786+00:00
AAPL,320193,0001104659-03-014913,2003-07-16,2003-07-16,8-K,sec_edgar,2026-08-06 23:15:34.711786+00:00
AAPL,320193,0001104659-03-017766,2003-08-12,2003-06-28,10-Q,sec_edgar,2026-08-06 23:15:34.711786+00:00
AAPL,320193,0001104659-03-022879,2003-10-15,2003-10-15,8-K,sec_edgar,2026-08-06 23:15:34.711786+00:00
AAPL,320193,0001047469-03-041604,2003-12-19,2003-09-27,10-K,sec_edgar,2026-08-06 23:15:34.711786+00:00
AAPL,320193,0001104659-04-000896,2004-01-14,2004-01-14,8-K,sec_edgar,2026-08-06 23:15:34.711786+00:00
AAPL,320193,0001104659-04-003080,2004-02-10,2003-12-27,10-Q,sec_edgar,2026-08-06 23:15:34.711786+00:00
AAPL,320193,0001104659-04-010122,2004-04-14,2004-04-14,8-K,sec_edgar,2026-08-06 23:15:34.711786+00:00
AAPL,320193,0001104659-04-013021,2004-05-06,2004-03-27,10-Q,sec_edgar,2026-08-06 23:15:34.711786+00:00
AAPL,320193,0001104659-04-019574,2004-07-14,2004-07-14,8-K,sec_edgar,2026-08-06 23:15:34.711786+00:00
AAPL,320193,0001104659-04-022384,2004-08-05,2004-06-26,10-Q,sec_edgar,2026-08-06 23:15:34.711786+00:00
AAPL,320193,0001104659-04-030400,2004-10-13,2004-10-13,8-K,sec_edgar,2026-08-06 23:15:34.711786+00:00
AAPL,320193,0001047469-04-035975,2004-12-03,2004-09-25,10-K,sec_edgar,2026-08-06 23:15:34.711786+00:00
AAPL,320193,0001104659-05-001049,2005-01-11,2005-01-11,8-K,sec_edgar,2026-08-06 23:15:34.711786+00:00
AAPL,320193,0001104659-05-001183,2005-01-12,2005-01-12,8-K,sec_edgar,2026-08-06 23:15:34.711786+00:00
AAPL,320193,0001104659-05-003520,2005-02-01,2004-12-25,10-Q,sec_edgar,2026-08-06 23:15:34.711786+00:00
AAPL,320193,0001104659-05-005507,2005-02-11,2005-02-11,8-K,sec_edgar,2026-08-06 23:15:34.711786+00:00
AAPL,320193,0001181431-05-013840,2005-03-02,2005-02-25,8-K,sec_edgar,2026-08-06 23:15:34.711786+00:00
AAPL,320193,0001104659-05-016307,2005-04-13,2005-04-13,8-K,sec_edgar,2026-08-06 23:15:34.711786+00:00
AAPL,320193,0001181431-05-023450,2005-04-26,2005-04-21,8-K,sec_edgar,2026-08-06 23:15:34.711786+00:00
AAPL,320193,0001104659-05-020421,2005-05-04,2005-03-26,10-Q,sec_edgar,2026-08-06 23:15:34.711786+00:00
AAPL,320193,0001181431-05-033177,2005-06-06,2005-06-06,8-K,sec_edgar,2026-08-06 23:15:34.711786+00:00
AAPL,320193,0001104659-05-032297,2005-07-13,2005-07-13,8-K,sec_edgar,2026-08-06 23:15:34.711786+00:00
AAPL,320193,0001104659-05-035792,2005-08-03,2005-06-25,10-Q,sec_edgar,2026-08-06 23:15:34.711786+00:00
AAPL,320193,0001181431-05-046871,2005-08-15,2005-08-09,8-K,sec_edgar,2026-08-06 23:15:34.711786+00:00
AAPL,320193,0001181431-05-049163,2005-08-26,2005-08-22,8-K,sec_edgar,2026-08-06 23:15:34.711786+00:00
AAPL,320193,0001104659-05-048094,2005-10-11,2005-10-11,8-K,sec_edgar,2026-08-06 23:15:34.711786+00:00
AAPL,320193,0001181431-05-056604,2005-10-14,2005-10-14,8-K,sec_edgar,2026-08-06 23:15:34.711786+00:00
AAPL,320193,0001104659-05-058421,2005-12-01,2005-09-24,10-K,sec_edgar,2026-08-06 23:15:34.711786+00:00
AAPL,320193,0001181431-05-067468,2005-12-19,2005-12-14,8-K,sec_edgar,2026-08-06 23:15:34.711786+00:00
AAPL,320193,0001104659-06-001428,2006-01-10,2006-01-10,8-K,sec_edgar,2026-08-06 23:15:34.711786+00:00
AAPL,320193,0001104659-06-002690,2006-01-18,2006-01-18,8-K,sec_edgar,2026-08-06 23:15:34.711786+00:00
AAPL,320193,0001104659-06-005910,2006-02-03,2005-12-31,10-Q,sec_edgar,2026-08-06 23:15:34.711786+00:00
AAPL,320193,0001104659-06-025992,2006-04-19,2006-04-19,8-K,sec_edgar,2026-08-06 23:15:34.711786+00:00
AAPL,320193,0001181431-06-024759,2006-04-21,2006-04-17,8-K,sec_edgar,2026-08-06 23:15:34.711786+00:00
AAPL,320193,0001104659-06-031303,2006-05-05,2006-04-01,10-Q,sec_edgar,2026-08-06 23:15:34.711786+00:00
AAPL,320193,0001104659-06-047739,2006-07-19,2006-07-19,8-K,sec_edgar,2026-08-06 23:15:34.711786+00:00
AAPL,320193,0001104659-06-051302,2006-08-04,2006-08-03,8-K,sec_edgar,2026-08-06 23:15:34.711786+00:00
