ticker,date,filing_count,form_10k_count,form_10q_count,form_8k_count,filing_count_30d,filing_count_90d,form_8k_count_30d,form_10q_count_180d,form_10k_count_365d,days_since_last_filing,days_since_last_8k
AAPL,2015-05-13,1,0,0,1,1.0,1.0,1.0,0.0,0.0,0.0,0.0
AAPL,2015-05-14,0,0,0,0,1.0,1.0,1.0,0.0,0.0,1.0,1.0
AAPL,2015-05-15,0,0,0,0,1.0,1.0,1.0,0.0,0.0,2.0,2.0
AAPL,2015-05-18,0,0,0,0,1.0,1.0,1.0,0.0,0.0,5.0,5.0
AAPL,2015-05-19,0,0,0,0,1.0,1.0,1.0,0.0,0.0,6.0,6.0
AAPL,2015-05-20,0,0,0,0,1.0,1.0,1.0,0.0,0.0,7.0,7.0
AAPL,2015-05-21,0,0,0,0,1.0,1.0,1.0,0.0,0.0,8.0,8.0
AAPL,2015-05-22,0,0,0,0,1.0,1.0,1.0,0.0,0.0,9.0,9.0
AAPL,2015-05-26,0,0,0,0,1.0,1.0,1.0,0.0,0.0,13.0,13.0
AAPL,2015-05-27,0,0,0,0,1.0,1.0,1.0,0.0,0.0,14.0,14.0
AAPL,2015-05-28,0,0,0,0,1.0,1.0,1.0,0.0,0.0,15.0,15.0
AAPL,2015-05-29,0,0,0,0,1.0,1.0,1.0,0.0,0.0,16.0,16.0
AAPL,2015-06-01,0,0,0,0,1.0,1.0,1.0,0.0,0.0,19.0,19.0
AAPL,2015-06-02,0,0,0,0,1.0,1.0,1.0,0.0,0.0,20.0,20.0
AAPL,2015-06-03,0,0,0,0,1.0,1.0,1.0,0.0,0.0,21.0,21.0
AAPL,2015-06-04,0,0,0,0,1.0,1.0,1.0,0.0,0.0,22.0,22.0
AAPL,2015-06-05,0,0,0,0,1.0,1.0,1.0,0.0,0.0,23.0,23.0
AAPL,2015-06-08,0,0,0,0,1.0,1.0,1.0,0.0,0.0,26.0,26.0
AAPL,2015-06-09,0,0,0,0,1.0,1.0,1.0,0.0,0.0,27.0,27.0
AAPL,2015-06-10,1,0,0,1,2.0,2.0,2.0,0.0,0.0,0.0,0.0
AAPL,2015-06-11,0,0,0,0,2.0,2.0,2.0,0.0,0.0,1.0,1.0
AAPL,2015-06-12,0,0,0,0,2.0,2.0,2.0,0.0,0.0,2.0,2.0
