ticker,cik,accession_number,filing_date,report_date,form_type,primary_document,filing_url,source,collected_at
AAPL,0000320193,0001140361-26-020871,2026-05-12,2026-05-08,4,xslF345X06/form4.xml,https://www.sec.gov/Archives/edgar/data/320193/000114036126020871/xslF345X06/form4.xml,sec_edgar,2026-05-21 20:10:02.868762+00:00
AAPL,0000320193,0001140361-26-020298,2026-05-08,2026-05-06,4,xslF345X06/form4.xml,https://www.sec.gov/Archives/edgar/data/320193/000114036126020298/xslF345X06/form4.xml,sec_edgar,2026-05-21 20:10:02.868766+00:00
AAPL,0000320193,0001921094-26-000446,2026-05-06,,144,xsl144X01/primary_doc.xml,https://www.sec.gov/Archives/edgar/data/320193/000192109426000446/xsl144X01/primary_doc.xml,sec_edgar,2026-05-21 20:10:02.868768+00:00
AAPL,0000320193,0001950047-26-004044,2026-05-05,,144,xsl144X01/primary_doc.xml,https://www.sec.gov/Archives/edgar/data/320193/000195004726004044/xsl144X01/primary_doc.xml,sec_edgar,2026-05-21 20:10:02.868770+00:00
AAPL,0000320193,0000320193-26-000013,2026-05-01,2026-03-28,10-Q,aapl-20260328.htm,https://www.sec.gov/Archives/edgar/data/320193/000032019326000013/aapl-20260328.htm,sec_edgar,2026-05-21 20:10:02.868771+00:00
AAPL,0000320193,0000320193-26-000011,2026-04-30,2026-04-30,8-K,aapl-20260430.htm,https://www.sec.gov/Archives/edgar/data/320193/000032019326000011/aapl-20260430.htm,sec_edgar,2026-05-21 20:10:02.868772+00:00
AAPL,0000320193,0002100119-26-000139,2026-04-29,,SCHEDULE 13G,xslSCHEDULE_13G_X02/primary_doc.xml,https://www.sec.gov/Archives/edgar/data/320193/000210011926000139/xslSCHEDULE_13G_X02/primary_doc.xml,sec_edgar,2026-05-21 20:10:02.868773+00:00
AAPL,0000320193,0001140361-26-017175,2026-04-27,2026-04-23,4,xslF345X06/form4.xml,https://www.sec.gov/Archives/edgar/data/320193/000114036126017175/xslF345X06/form4.xml,sec_edgar,2026-05-21 20:10:02.868774+00:00
AAPL,0000320193,0001950047-26-003721,2026-04-23,,144,xsl144X01/primary_doc.xml,https://www.sec.gov/Archives/edgar/data/320193/000195004726003721/xsl144X01/primary_doc.xml,sec_edgar,2026-05-21 20:10:02.868775+00:00
AAPL,0000320193,0001140361-26-015711,2026-04-20,2026-04-17,8-K,ef20071035_8k.htm,https://www.sec.gov/Archives/edgar/data/320193/000114036126015711/ef20071035_8k.htm,sec_edgar,2026-05-21 20:10:02.868776+00:00
AAPL,0000320193,0001140361-26-015421,2026-04-17,2026-04-15,4,xslF345X06/form4.xml,https://www.sec.gov/Archives/edgar/data/320193/000114036126015421/xslF345X06/form4.xml,sec_edgar,2026-05-21 20:10:02.868777+00:00
AAPL,0000320193,0001140361-26-015420,2026-04-17,2026-04-15,4,xslF345X06/form4.xml,https://www.sec.gov/Archives/edgar/data/320193/000114036126015420/xslF345X06/form4.xml,sec_edgar,2026-05-21 20:10:02.868778+00:00
AAPL,0000320193,0001140361-26-013192,2026-04-03,2026-04-01,4,xslF345X06/form4.xml,https://www.sec.gov/Archives/edgar/data/320193/000114036126013192/xslF345X06/form4.xml,sec_edgar,2026-05-21 20:10:02.868779+00:00
AAPL,0000320193,0001140361-26-013191,2026-04-03,2026-04-01,4,xslF345X06/form4.xml,https://www.sec.gov/Archives/edgar/data/320193/000114036126013191/xslF345X06/form4.xml,sec_edgar,2026-05-21 20:10:02.868780+00:00
AAPL,0000320193,0001140361-26-013190,2026-04-03,2026-04-01,4,xslF345X06/form4.xml,https://www.sec.gov/Archives/edgar/data/320193/000114036126013190/xslF345X06/form4.xml,sec_edgar,2026-05-21 20:10:02.868781+00:00
AAPL,0000320193,0001959173-26-002757,2026-04-02,,144,xsl144X01/primary_doc.xml,https://www.sec.gov/Archives/edgar/data/320193/000195917326002757/xsl144X01/primary_doc.xml,sec_edgar,2026-05-21 20:10:02.868783+00:00
AAPL,0000320193,0001969223-26-000420,2026-04-02,,144,xsl144X01/primary_doc.xml,https://www.sec.gov/Archives/edgar/data/320193/000196922326000420/xsl144X01/primary_doc.xml,sec_edgar,2026-05-21 20:10:02.868782+00:00
AAPL,0000320193,0000102909-26-000630,2026-03-26,,SCHEDULE 13G/A,xslSCHEDULE_13G_X02/primary_doc.xml,https://www.sec.gov/Archives/edgar/data/320193/000010290926000630/xslSCHEDULE_13G_X02/primary_doc.xml,sec_edgar,2026-05-21 20:10:02.868784+00:00
AAPL,0000320193,0001780525-26-000005,2026-03-17,2026-03-15,4,xslF345X05/wk-form4_1773786674.xml,https://www.sec.gov/Archives/edgar/data/320193/000178052526000005/xslF345X05/wk-form4_1773786674.xml,sec_edgar,2026-05-21 20:10:02.868785+00:00
AAPL,0000320193,0001780525-26-000003,2026-03-06,2026-03-01,3,xslF345X02/wk-form3_1772839848.xml,https://www.sec.gov/Archives/edgar/data/320193/000178052526000003/xslF345X02/wk-form3_1772839848.xml,sec_edgar,2026-05-21 20:10:02.868786+00:00
AAPL,0000320193,0001059235-26-000004,2026-02-26,2026-02-24,4,xslF345X05/wk-form4_1772148856.xml,https://www.sec.gov/Archives/edgar/data/320193/000105923526000004/xslF345X05/wk-form4_1772148856.xml,sec_edgar,2026-05-21 20:10:02.868788+00:00
AAPL,0000320193,0001216519-26-000004,2026-02-26,2026-02-24,4,xslF345X05/wk-form4_1772148826.xml,https://www.sec.gov/Archives/edgar/data/320193/000121651926000004/xslF345X05/wk-form4_1772148826.xml,sec_edgar,2026-05-21 20:10:02.868789+00:00
AAPL,0000320193,0001179864-26-000004,2026-02-26,2026-02-24,4,xslF345X05/wk-form4_1772148791.xml,https://www.sec.gov/Archives/edgar/data/320193/000117986426000004/xslF345X05/wk-form4_1772148791.xml,sec_edgar,2026-05-21 20:10:02.868790+00:00
AAPL,0000320193,0001214128-26-000004,2026-02-26,2026-02-24,4,xslF345X05/wk-form4_1772148758.xml,https://www.sec.gov/Archives/edgar/data/320193/000121412826000004/xslF345X05/wk-form4_1772148758.xml,sec_edgar,2026-05-21 20:10:02.868791+00:00
