anomaly_type,structural_score,ticker,date,anomaly_score,log_return,return_zscore_21d,volume_zscore_21d,range_zscore_21d,filed_8k_2d,filed_10q_2d
range expansion,0.6037842373913165,AMD,2008-09-29,26.245721722088497,-0.1846498465535457,-3.874442363923424,1.825679059813911,26.245721722088497,0.0,0.0
price move with disclosure,0.6874172495653696,META,2013-07-25,21.161050493711382,0.2593710768151204,21.161050493711382,5.266616376077033,8.512829258337433,1.0,1.0
range expansion,0.501768080660562,AAPL,2010-05-06,21.01630486019872,-0.0387220258791664,-2.0374388545705666,2.340214290663321,21.01630486019872,0.0,0.0
range expansion,0.49621276570671197,AMZN,2017-06-09,19.741996173449124,-0.0321463076180637,-4.029461371346434,3.4271241799541645,19.741996173449124,0.0,0.0
price move with disclosure,0.6457079351175615,MSFT,2006-04-28,18.445034148152263,-0.1207935412149936,-18.445034148152263,9.988021675933725,1.5749340491938142,1.0,1.0
range expansion with disclosure,0.5712578509471656,GOOGL,2012-10-18,18.439285339090983,-0.0834338247855095,-9.164778349967136,4.136203647989967,18.439285339090983,2.0,0.0
price move with disclosure,0.5853929630368102,INTC,2014-07-16,16.79916069280026,0.0887283923455855,16.79916069280026,4.653171506052133,5.283274480350791,1.0,0.0
price move with disclosure,0.6593211628422787,AMD,2005-01-11,16.7015407377504,-0.3035382003620869,-16.7015407377504,4.9086750167494815,5.984633063375097,1.0,0.0
range expansion with disclosure,0.5540967857602083,MSFT,2005-10-27,16.394207191888707,-0.0104651905906643,-0.9882663743322608,-0.0969226346873123,16.394207191888707,1.0,1.0
price move with disclosure,0.6697904611884525,META,2018-07-26,15.937684949680405,-0.2102386728572244,-15.937684949680405,6.088918131249356,3.131309978910779,1.0,1.0
range expansion,0.4984897814980887,ORCL,2010-05-06,15.928300346339087,-0.0421740503288194,-3.568490153703761,3.095256149575652,15.928300346339087,0.0,0.0
price move with disclosure,0.6436458186682494,AMZN,2007-04-25,15.558039412879957,0.2386209218481712,15.558039412879957,6.624157909399018,9.54627553805758,1.0,0.0
price move with disclosure,0.6766135976901931,AMZN,2017-10-27,15.537875663676482,0.1241306289632843,15.537875663676482,7.643205816547854,6.573576815356867,1.0,1.0
range expansion with disclosure,0.5778930007179016,ORCL,2008-09-19,15.331698933899627,0.0681188188733775,3.211752460842629,1.289132367327154,15.331698933899627,1.0,0.0
range expansion,0.5236025895689779,INTC,2010-05-06,15.23524958476842,-0.0299758052206891,-1.7675604186407765,2.1953048274958538,15.23524958476842,0.0,0.0
price move with disclosure,0.6793002201076128,AMD,2016-04-22,15.02804692544446,0.4206169131287665,15.02804692544446,10.373549245190164,9.92038146511676,1.0,0.0
range expansion,0.5277069877152801,META,2015-08-24,14.96892652065211,-0.0472285210502787,-2.1030480460006267,2.143761648589803,14.96892652065211,0.0,0.0
price move,0.6759946026620526,AAPL,2000-09-29,14.785125407635563,-0.7307974960436613,-14.785125407635563,7.182272980130767,3.620292837076636,0.0,0.0
range expansion,0.4869219810350452,GOOGL,2017-03-21,14.465309771946387,-0.0206871779932218,-4.722104632468847,4.481250471457815,14.465309771946387,0.0,0.0
range expansion,0.5505957136708994,AMD,1996-01-05,14.349858400695188,0.0780212055608962,3.524713232402421,2.294703221459013,14.349858400695188,0.0,0.0
price move with disclosure,0.6561134051603622,NVDA,2008-07-03,14.009333860731356,-0.3667769608847175,-14.009333860731356,6.859208344079071,1.214814702511355,1.0,0.0
range expansion,0.47148707388022826,MSFT,2008-07-01,13.78246595730507,-0.0234607848606849,-1.1124567435700083,1.29835540786495,13.78246595730507,0.0,0.0
price move with disclosure,0.6814822372453685,AMZN,2009-10-23,13.77520656146819,0.2374020349270767,13.77520656146819,6.681929106538849,8.058426922346358,1.0,1.0
range expansion with disclosure,0.5144189012784448,AMZN,2006-10-24,13.754423535913585,0.0225539555641991,0.9783128898849844,6.117727981594954,13.754423535913585,1.0,0.0
range expansion with disclosure,0.5257705674424487,AMZN,2006-02-02,13.553267327143576,-0.0285997352356134,-1.9919772671519007,4.638823684561372,13.553267327143576,1.0,0.0
range expansion,0.5959307881351001,TSLA,2012-01-13,13.529436399578415,-0.2147720383689055,-13.284295248023572,5.566083875173331,13.529436399578415,0.0,0.0
price move with disclosure,0.6165228412340628,GOOGL,2013-10-18,13.48342386549501,0.1292176169548254,13.48342386549501,5.267991573801504,5.958669204232885,1.0,0.0
price move with disclosure,0.6687382521681137,ORCL,2021-12-10,13.458657388858777,0.145073561701538,13.458657388858777,4.59946173979203,5.5613357943232735,1.0,1.0
price move with disclosure,0.6855393225626497,NVDA,2004-08-06,13.360388981918298,-0.4347940239135572,-13.360388981918298,6.917032686779685,2.7839829903344326,1.0,0.0
range expansion with disclosure,0.5673978623560029,TSLA,2018-02-08,13.14182758776418,-0.0902434720564763,-5.352257167813577,3.3364394581748607,13.14182758776418,2.0,0.0
price move with disclosure,0.6763210337774239,META,2022-02-03,13.054399052484484,-0.3063905616932622,-13.054399052484484,6.211771695283157,1.312613647967495,1.0,0.0
price move with disclosure,0.6595907541306556,ORCL,2023-12-12,13.036641570432344,-0.1328243676197228,-13.036641570432344,5.497502007840839,6.128153636911463,1.0,1.0
price move with disclosure,0.598518080866488,ORCL,2017-06-22,13.026185409739991,0.0822034021365678,13.026185409739991,4.743281988461866,4.4193617848107305,1.0,0.0
price move with disclosure,0.6557763721984531,INTC,2020-07-24,12.984929182287434,-0.177233526663892,-12.984929182287434,6.78383840258289,4.203662332452512,1.0,1.0
range expansion,0.5681190471270823,NVDA,2021-11-04,12.936866562590737,0.1137032381762911,5.673311523299403,5.6885026034407655,12.936866562590737,0.0,0.0
price move with disclosure,0.677515005810598,META,2024-02-02,12.836750969238574,0.1849651034666112,12.836750969238574,7.462156683580834,8.081627058470705,1.0,0.0
range expansion with disclosure,0.6549834281747634,AMZN,2015-07-24,12.809870453354634,0.0934645793755555,6.395590913019624,4.722408254144746,12.809870453354634,1.0,1.0
price move with disclosure,0.5872834223405115,ORCL,2017-09-15,12.480836500901102,-0.0797896697975806,-12.480836500901102,5.382721685853396,10.773165926066913,1.0,0.0
range expansion,0.583166433724637,TSLA,2025-06-05,12.448398622528442,-0.1538495657027309,-5.135935455674197,5.55145927319482,12.448398622528442,0.0,0.0
range expansion,0.535934718938237,AMD,1994-10-03,12.39811733417827,-0.1160204769727146,-5.96363816715483,4.270831864977385,12.39811733417827,0.0,0.0
price move with disclosure,0.686800248209518,ORCL,2025-09-10,12.37887366011308,0.3071083200653403,12.37887366011308,5.595844638020522,4.310021603588129,1.0,1.0
price move with disclosure,0.6372223408198833,GOOGL,2019-04-30,12.25549813998882,-0.0779834308895119,-12.25549813998882,5.274797772677958,1.0704926057091382,2.0,1.0
range expansion,0.5347405160003006,NVDA,2018-02-05,12.21340699844171,-0.088589122880158,-5.540882083297201,3.75786268443394,12.21340699844171,0.0,0.0
range expansion with disclosure,0.6024067457044491,AMD,1996-06-21,12.207301016496258,-0.1014201784459033,-5.1942026671969606,5.535505664818815,12.207301016496258,1.0,0.0
price move with disclosure,0.6418589533304783,NVDA,2016-11-11,12.180557814388944,0.2608342408676769,12.180557814388944,5.345653100339378,6.234025565190684,1.0,0.0
range expansion with disclosure,0.6168598879484446,MSFT,2025-07-31,12.175864951797257,0.0387154987149905,5.37515071338587,6.177542531636503,12.175864951797257,1.0,0.0
range expansion,0.5062402547937932,NVDA,2017-11-29,12.016796175525055,-0.0705146869454788,-4.456356083023947,2.9051601300213954,12.016796175525055,0.0,0.0
range expansion,0.4763872373868483,AAPL,2007-10-11,11.8978041943824,-0.0275724790992085,-2.463375291093891,2.947759412675772,11.8978041943824,0.0,0.0
range expansion,0.46934474559228584,NVDA,2013-08-12,11.856538752872444,-0.0083023020056548,-0.873968377457571,-0.0163576115879217,11.856538752872444,0.0,0.0
price move with disclosure,0.6363602561235997,MSFT,2017-10-27,11.742343557432363,0.0621584311260965,11.742343557432363,5.788718166961051,7.930925857546877,1.0,1.0
range expansion,0.5493323612594909,AAPL,2003-04-11,11.676331061779056,-0.0842092695896535,-4.6461379936810205,6.097007382124386,11.676331061779056,0.0,0.0
